name,provider,provinces,basis,provider_type,eligibility_raw,income_cap_pkr,min_merit_pct,coverage,source_url
HU Equal Opportunity Program Scholarship (HUEOPS),Habib University (own funds),Federal / National,Need-based,Government,Students from specific exam boards demonstrating financial need,,,Up to 80% financial support,https://habib.edu.pk/admissions
AKU Need-Sensitive Financial Assistance,Aga Khan University (own funds/donors),Federal / National,Need + Merit,Government,"Undergrad students (BScN, MBBS, BScM, FAS programs) admitted purely on merit",,,Partial to full tuition; ~89% of Nursing/Midwifery students study on some form of assistance,https://www.aku.edu/sonampk/Pages/financial-assistance.aspx
AKU Challenge Programme (Scholarship),Aga Khan University (own funds),Federal / National,Merit-based,Government,Students selected for an 11-day pre-university enrichment programme,,,"Fully funded: course fee, excursions, meals; hostel available for non-Karachi residents",https://www.aku.edu/registrar/Pages/aku-challenge-scholarship.aspx
Habib University TOPS Program (Talent Outreach Program Support),Habib University,"Sindh, Federal / National",Need + Merit,Government,Top students from local boards; from underprivileged backgrounds; nationwide,,,100% full scholarships for 4-year undergraduate degree; covers all expenses,https://huf.org.pk/scholarships
Habib University Merit Scholarship,Habib University,Federal / National,Merit-based,Government,Top performing students; high entrance exam scores,,,50% tuition fee waiver,https://habib.edu.pk/admissions/student-finance/
GIKI Merit Scholarship,Ghulam Ishaq Khan Institute (GIKI),Khyber Pakhtunkhwa,Merit-based,Government,Merit-based; all undergraduate students,,,Partial to full tuition fee coverage; no discrimination,https://giki.edu.pk/admissions/
GIKI Financial Assistance Program,Ghulam Ishaq Khan Institute (GIKI),Khyber Pakhtunkhwa,Need-based,Government,Financially disadvantaged students; all undergraduate programs,,,Interest-free loan for educational expenses,https://giki.edu.pk/admissions/
GIKI Graduate Scholarships,Ghulam Ishaq Khan Institute (GIKI),Khyber Pakhtunkhwa,Need + Merit,Government,MS and PhD students; merit & need-based,,,Partial to full tuition fee; accommodation; monthly stipend,https://giki.edu.pk/admissions/admissions-graduate/
Bahria University Advanced Merit Scholarship,Bahria University,Federal / National,Merit-based,Government,Board toppers; top rankers in university merit lists; A-Level outstanding performers,,,"50-100% tuition fee waiver; must maintain minimum CGPA (3.5+ for engineering, 3.7+ for others)",https://bahria.edu.pk/scholarships/
Bahria University Financial Assistance Scholarship,Bahria University,Federal / National,Need-based,Government,Financially needy students; new intake and enrolled students,,,Partial to full tuition fee coverage; requires on-campus job 10 hrs/week,https://bahria.edu.pk/scholarships/financial-assistance/
SZABIST Need-Based Scholarship,SZABIST University (Islamabad),Federal / National,Need-based,Government,"Annual family income ≤ PKR 1,500,000; undergraduate & MBA students; SGPA ≥ 2.50, CGPA ≥ 2.75",1500000,,Partial to full tuition fee coverage; provides financial relief,https://szabist-isb.edu.pk/scholarships/
SZABIST Merit Scholarships,SZABIST University (Karachi),Federal / National,Merit-based,Government,High-performing students; all undergraduate & postgraduate programs,,,Partial to full tuition fee coverage based on academic excellence,https://szabist.edu.pk/scholarships/
Lahore School of Economics Need-Based Scholarship,Lahore School of Economics (own funds),Federal / National,Need-based,Government,Undergrads with 75% in Intermediate/IBCC equivalent + verified financial hardship (home visit),,75,"50% tuition fee waiver; reduced to 25% if CGPA falls to 3.0–3.49, withdrawn below 3.0",https://lahoreschoolofeconomics.edu.pk (Scholarships 2025-2026 PDF)
FCCU Merit Scholarships (A-Level Distinction),Forman Christian College University (own funds),Federal / National,Merit-based,Government,Global/Pakistan distinction holders in A-Level exams,,,Tuition fee scholarship against program cost,https://www.fccollege.edu.pk/fccu-homepage/financial-aid-scholarships
FCCU Need-Based Financial Aid,Forman Christian College University (own funds),"Punjab, Federal / National",Need-based,Government,"Family income ≤ PKR 60,000/month; matric/intermediate from BISE Punjab or FBISE",60000,,"Partial to full tuition support; ~1,450 students funded, Rs. 400M+ disbursed in 2025-26",https://intermediate.fccollege.edu.pk/financial-aid-and-merit-scholarship
FCCU Women's Leadership Scholarship (remote areas),Forman Christian College University (own funds),"Sindh, Balochistan",Merit-based,Government,"Female students from underrepresented regions, T-score ≥55, domicile from listed regions",,,Up to 10 fully funded tuition + hostel scholarships (excludes meals),https://www.fccollege.edu.pk/fccu-homepage/financial-aid-scholarships
FCCU Orphan Student Waiver,Forman Christian College University (own funds),Federal / National,Need-based,Government,Orphan students scoring 950/1100 in Matric,,,25% tuition fee waiver,https://intermediate.fccollege.edu.pk/financial-aid-and-merit-scholarship
FCCU Zakat Fund,Forman Christian College University (own funds/donors),Federal / National,Need-based,Government,Muslim students from low-income families,,,"Since inception, Rs. 29.8M disbursed to ~480 students",https://www.fccollege.edu.pk (Bachelors Catalog 2025-26 PDF)
IBA Sindh Talent Hunt Program,IBA Sukkur,Sindh,Need + Merit,Government,Students from Sindh province; 70%+ marks in HSSC-I/II; 300 fully-funded spots annually,,70,Fully-funded scholarships; merit-based and need-based assessment; foundation semester covered,https://www.iba.edu.pk/
Habib University HU TOPS Female Leadership Scholarship,Habib University,Federal / National,Need + Merit,Government,Talented female students; from all backgrounds; prioritizes addressing gender parity,,,100% scholarships; supports pathways to female leadership,https://huf.org.pk/scholarships
COMSATS Merit-Cum-Need Based Scholarship,COMSATS University Islamabad (Multi-campus),Federal / National,Need + Merit,Government,All students; top position holders on admission merit lists; financial need consideration,,,Full and partial scholarships; tuition fee coverage; multiple tiers available,https://ww2.comsats.edu.pk/scholarships/
COMSATS Merit Scholarship (CAMS),COMSATS University Islamabad,Federal / National,Merit-based,Government,Intermediate/A-Level students with ≥70-60% marks; first semester upon admission,,60,Partial tuition fee coverage; Awarded provisionally after admission requirements,https://www.cuiatd.edu.pk/admissions/scholarships/
COMSATS Taleem Fund,COMSATS University Islamabad,Federal / National,Need-based,Government,Students in financial hardship; all programs,,,Special financial assistance fund; covers emergency educational needs,https://ww2.comsats.edu.pk/scholarships/
COMSATS Qarz-i-Hasna (Interest-Free Loan),COMSATS University Islamabad,Federal / National,Need-based,Government,Students with financial difficulties; all programs,,,Interest-free educational loan; flexible repayment options,https://ww2.comsats.edu.pk/scholarships/
COMSATS Sibling/Kinship Concession,COMSATS University Islamabad,Federal / National,Other,Government,Siblings studying simultaneously at COMSATS; all programsFee concession for family members; encourages family education,,,Reduced tuition fees for multiple siblings enrolled together,https://ww2.comsats.edu.pk/scholarships/
Air University Need-Based Financial Assistance (NBFG),Air University (Multi-campus),Federal / National,Need-based,Government,Students from low-income families; admitted on open merit; CGPA ≥ 2.0,,,Partial to full financial grant for tuition and living expenses,https://kc.au.edu.pk/Pages/Admission/Scholarship.aspx
Air University Merit-Based Scholarships,Air University,Federal / National,Merit-based,Government,Outstanding students; top three position holders per program/batch; all levels,,,Tuition fee waiver (50-100%) to top three students per program; varies by position,https://kc.au.edu.pk/Pages/Admission/Scholarship.aspx
Air University HEC Need-Based Scholarships,Air University + Higher Education Commission,Federal / National,Need-based,Government,Eligible students under HEC programs; financially disadvantaged background,,,HEC-funded scholarships; varies by HEC scheme,https://au.edu.pk/
UET Lahore Need-Based Scholarships,University of Engineering & Technology (UET) Lahore,Punjab,Need-based,Government,Financially disadvantaged students; all undergraduate programs; must maintain CGPA ≥ 2.5,,,Partial to full tuition fee coverage; living stipend; monthly support,https://facs.uet.edu.pk/
UET Lahore Merit-Based Scholarships,University of Engineering & Technology (UET) Lahore,Punjab,Merit-based,Government,Top-performing students; high academic records; CGPA ≥ 2.5 maintenance required,,,Tuition fee waivers; merit-based awards; renewable if CGPA maintained,https://facs.uet.edu.pk/
UET Lahore Taleem Mumkin Scholarship Program,UET Lahore + Qasim Ali Shah Foundation,Punjab,Need + Merit,NGO / Foundation,"BSc Engineering students, Session 2022+; specific disciplines (Electrical, Mechanical, others)",,,Funded by Qasim Ali Shah Foundation; covers tuition fees for eligible engineering students,https://facs.uet.edu.pk/
UET Peshawar Scholarship Program,University of Engineering & Technology (UET) Peshawar,Khyber Pakhtunkhwa,Need + Merit,Government,Students with 70%+ marks; poverty-cum-merit basis; sibling concessions available,,70,"Rs. 21,000/semester for merit students; free ship tuition (max 15 deserving); sibling discounts",https://jc.uetpeshawar.edu.pk/scholarships/
QAU Financial Assistance Office Scholarships,Quaid-e-Azam University (QAU) Islamabad,Federal / National,Need + Merit,Government,"Meritorious, needy, and deserving students; all undergraduate, M.Sc., M.Phil, PhD programs",,,Various scholarships through Office of Students' Financial Assistance (OSFA); varies by program,https://qau.edu.pk/financial-assistancescholarships/
UAF Merit Scholarships,University of Agriculture Faisalabad (UAF),Punjab,Merit-based,Government,Talented students; all agricultural and related programs; board toppers,,,Tuition fee waivers; vary based on merit position,https://web.uaf.edu.pk/
UAF Benevolent Fund Scholarships,University of Agriculture Faisalabad,Punjab,Need-based,Government,Financially disadvantaged students; all undergraduate programs; university staff families,,,Educational scholarships for needy students; varies by case assessment,https://web.uaf.edu.pk/
UAF Subject Scholarships,University of Agriculture Faisalabad,Punjab,Merit-based,Government,5th semester students; specific agriculture disciplines; competitive basis,,,Subject-based tuition fee coverage; for specialized agricultural programs,https://web.uaf.edu.pk/
UMT Merit Scholarships,University of Management and Technology (UMT) Lahore,Punjab,Merit-based,Government,Bright students; high academic achievement; all programs; 22% of student body on scholarships,,22,Up to 100% admission waiver + up to 65% tuition discount; tiered based on performance,https://admissions.umt.edu.pk/Scholarships.aspx
UMT Need-Based Scholarships,University of Management and Technology (UMT),Punjab,Need-based,Government,"Financially distressed students; all programs; BSc Engineering, School of Science, Food Science",,,Partial to full tuition fee coverage based on financial assessment,https://admissions.umt.edu.pk/scholarship-1.aspx
UMT Armed Forces Scholarship,University of Management and Technology (UMT),Punjab,Other,Government,Students from Armed Forces / Government Services of Pakistan; all programs,,,50% waiver in tuition fees; for qualified defense personnel,https://admissions.umt.edu.pk/scholarship-1.aspx
UMT Minority Scholarship,University of Management and Technology (UMT),"Punjab, Federal / National",Other,Government,Pakistani nationals belonging to minority communities; 60%+ marks in intermediate/graduation,,60,30% waiver in tuition fees; specifically for minority students,https://admissions.umt.edu.pk/scholarship-1.aspx
UMT Orphan Students Scholarship,University of Management and Technology (UMT),Punjab,Other,Government,Orphan students; all programs; verified documentation required,,,Up to 20% tuition fee waiver; special consideration for vulnerable students,https://admissions.umt.edu.pk/scholarship-1.aspx
Riphah Merit Scholarship (Board Toppers),Riphah International University (Rawalpindi/Islamabad),Khyber Pakhtunkhwa,Merit-based,International,Top 5 positions in intermediate/secondary education boards; all programs except MBBS/BDS,,,100% (1st-3rd) and 50% (4th-5th) tuition fee waiver; first term award,https://www.eduvision.edu.pk/scholarships/riphah-international-university-scholar-172
Riphah Assistantship Scholarship,Riphah International University,Not specified,Merit-based,International,Students with 65%+ marks in intermediate; all BS programs; CGPA ≥ 3.50 requirement,,65,25-100% assistantship on tuition fees based on performance; varying tiers available,https://www.eduvision.edu.pk/scholarships/riphah-international-university-scholar-172
Riphah University Merit Scholarship (Top Class Performers),Riphah International University,Not specified,Merit-based,International,Top 20% of class strength; all programs except MBBS/BDS; each academic term eligible,,20,SGPA ≥ 3.75 receives awards; varies based on achievement,https://www.eduvision.edu.pk/scholarships/riphah-international-university-scholar-172
BNU Need-Based Scholarship (NBS),Beaconhouse National University (own funds),Federal / National,Need-based,Government,"Students from low-income families, verified via financial hardship documentation",,,25–50% of tuition fees; must maintain CGPA ≥ 2.65 (Fall 2024+ intake) or 2.50 (earlier),https://bnu.edu.pk (official Registrar PDF: RO-Scholarship-Award-and-Retention-Criteria)
BNU Merit-Based Scholarship (MBS),Beaconhouse National University (own funds),Federal / National,Merit-based,Government,Students attaining CGPA ≥ 3.5 at end of academic year,,,25% tuition fee waiver for the following academic year,https://bnu.edu.pk (Examinations page)
BNU Dean's Scholarship,Beaconhouse National University (own funds),Federal / National,Merit-based,Government,Applicants scoring >80% aggregate (35% Matric/O-Level + 35% Intermediate/A-Level + 30% BNU Admissions Test/Interview/portfolio),,80,Tuition scholarship; must maintain CGPA ≥ 3.0 to retain,https://www.bnu.edu.pk/scholarships
BNU Student Fund,Beaconhouse National University (own funds/donors),Federal / National,Need-based,Government,Enrolled students facing financial hardship,,,"Discretionary financial assistance, amount varies by case",https://www.bnu.edu.pk/bnu/Admissions/Fee-Scholarship
Sukkur IBA Merit-Based Admission Scholarships,Sukkur IBA University (own funds),"Sindh, Federal / National",Merit-based,Government,"Admitted undergrads, awarded at time of admission",,,"4-year scholarship, tuition coverage tier varies; requires maintaining CGPA each semester or withdrawn immediately (no probation)",https://education.iba-suk.edu.pk/home/scholarships
"Sukkur IBA Named Donor Scholarships (e.g., Pehlaj Roy Scholarship, Prince Hassan Ali Khan Scholarship)","Individual donors/alumni, administered by Sukkur IBA",Federal / National,Need + Merit,Government,Enrolled Sukkur IBA students,,,"Varies by named scholarship, not itemized on fetched page",https://education.iba-suk.edu.pk/home/scholarships
IoBM Merit Scholarship,"Institute of Business Management, Karachi (own funds)",Federal / National,Merit-based,Government,"Meritorious students, based on academic performance at admission",,,50% tuition fee waiver; auto-renewed each semester if GPA criteria maintained,https://iobm.edu.pk/types-of-scholarships
IoBM Educational Assistance (Need-cum-Merit),IoBM (own funds),Federal / National,Need + Merit,Government,Admitted students who apply post-admission-offer; brief interview required,,,"50–75% tuition fee waiver, case-assessed",https://iobm.edu.pk/scholarships
IoBM Employee Children Educational Assistance,IoBM (own funds),Federal / National,Other,Government,Registered children of full-time IoBM employees,,,"50–75% tuition fee waiver, based on employment tenure",https://iobm.edu.pk/types-of-scholarships
IoBM Engineering/Industrial Management Tuition Waiver,IoBM (own funds),Federal / National,Need + Merit,Government,"BE (Electrical) and BS (Industrial Engineering & Mgmt.) students, GPA ≥ 2.50, min. 15 credit hours/5 courses",,,50% tuition fee waiver,https://iobm.edu.pk/types-of-scholarships
IoBM Less-Privileged Districts Scholarship,IoBM (own funds),Sindh,Need + Merit,Government,Students selected on merit from less-privileged Sindh districts,,,100% fee waiver including free transportation,https://iobm.edu.pk/types-of-scholarships
IoBM Lucky Cement Scholarship,"Lucky Cement (donor), administered by IoBM",Federal / National,Need-based,Government,"Needy students, selected via preliminary interview with Admissions",,,Details not fully specified on fetched page,https://iobm.edu.pk/types-of-scholarships
IoBM Sports Scholarship,IoBM (own funds),Federal / National,Other,Government,Students demonstrating sporting achievement,,,Details not fully specified on fetched page,https://iobm.edu.pk/scholarships
ZU Financial Assistance Program,Ziauddin University (own funds),Sindh,Need + Merit,Government,Students who have completed 1 full year at ZU (not available to fresh admits),,,Amount not specified on official page,https://zu.edu.pk/faqs
"University of the Punjab, Lahore",PU Financial Aid Scholarships (merit-cum-need) + Zakat/Ushr Committee waivers,Not specified,Need + Merit,Government,Assessed annually by Financial Aid Committee; destitute/orphan cases via VC committee,,,Full tuition fee waiver at departmental level (e.g. PUCIT: 84 students/2yrs); hostel waivers for verified cases,https://pu.edu.pk/page/show/scholarships2.html
University of Karachi,Student Financial Aid Office (SFAO) need-based scholarships,Sindh,Need + Merit,Government,"Income certificate, CNIC, academic transcripts required; mostly funded by Sindh Zakat & Ushr Dept + alumni (UKAHA)",,,Semester tuition fee adjustment/waiver,https://www.uok.edu.pk/sfao
"NED University of Engineering & Technology, Karachi",NED Undergraduate Fellowship Program (Jinnah/Iqbal/Sir Syed/Jauhar/Liaquat/Fatima Jinnah tiers),Not specified,Merit-based,Government,"Tiered by admission merit rank: top 50=Jinnah, 51-100=Iqbal, 101-150=Sir Syed, 151-225=Jauhar, 225-325=Liaquat, 400+=Fatima Jinnah",,,"100% (top 50) down to 20% (400+) of tuition & exam fees; annual budget Rs 233M + existing Rs 200M scheme; ~2,900 new students covered",NED official site + VC announcement (Express Tribune/Samaa)
"Bahauddin Zakariya University (BZU), Multan","BZU Scholarship Cell - Kinship Fee Refund, Position Holder Refund, Tuition Concession (Full/Half)",Not specified,Need + Merit,Government,Criteria/income thresholds NOT published on official page,,,"Full/half tuition concessions; 2024: Kinship Refund (712), Position Holder Refund (1,290), Full Concession (60), Half Concession (13)",https://bzu.edu.pk/scholarship-cell.php
"Iqra University, Karachi","Merit-Based, Need-Based, Qarz-e-Hasana, Talent-Based, Alumni, Loyalty, Differently-Abled Scholarships",Not specified,Need + Merit,Private,"Merit (admission): tiered by FA/FSc/A-Level marks (50%->85%+ = 5%-30%) + admission test (5%-25%), capped 35% first sem. Continuation: GPA 4.0=60%. Floor: ≥45% marks",,50,10%-100% of tuition depending on policy; only one scholarship at a time (most favorable applied),https://iqra.edu.pk
"University of Central Punjab (UCP), Lahore",UCP Need-Based Financial Assistance + Merit-Based Scholarships (15 types),Not specified,Need + Merit,Private,"Need: 1st divisions in Matric+Intermediate required, committee-assessed, maintain CGPA 3.00. Merit (freshmen): 75%+ marks=100%, 70%=75%, 65%=50%, 60%=25%",,75,Up to 100% need-based tuition; up to 50% on death of guardian; PKR 830M scholarships disbursed in 2023,https://ucp.edu.pk/ucp-scholarships/
University of Peshawar,Merit Scholarships (position holders) + Merit-cum-Need Fee Concession + Sibling Concession,Not specified,Need + Merit,Government,Position holders get full admission fee waiver; fee concessions assessed by University Financial Aid,,,"Full admission fee waiver (merit); sibling concession (senior full fee, others half)",http://www.uop.edu.pk/admissions/?q=Scholarships
"University of Sindh, Jamshoro",Freeships & Bursaries (poverty-cum-merit) + 100 Scholarships for incoming meritorious needy students,Not specified,Merit-based,Government,"Assessed by Students Financial Aid Office (SFAO); VC cited '14 diverse student financial aid programs', 3000/6000 new admits (50%) receiving aid",,50,Tuition relief (freeships) + bursaries + targeted scholarships for incoming students,https://usindh.edu.pk/page/38
Islamia University of Bahawalpur (IUB),Needy Fee Remission + Position Holder Remission + Orphan/Hafiz-e-Quran/Kinship Remission + Fee Waiver Scholarship,Not specified,Need + Merit,Government,Administered by Directorate of Financial Assistance; funds >20% of students per official page,,20,"Fee remissions/waivers; 8,652 students financed with Rs 362.4M (cited)",https://www.iub.edu.pk/student-support
"University of Balochistan, Quetta",Merit scholarship for position holders (internal program not clearly documented),Not specified,Merit-based,Government,Not published on official site,,,Not published,No official own-resource program page found
"Sindh Agriculture University, Tandojam","University-awarded Scholarships, Free-ships, Cash Grants + SAU Endowment Fund",Not specified,Merit-based,Government,Continuation subject to satisfactory annual performance,,,Scholarships/free-ships/cash grants (% not published),https://sau.edu.pk/financial-aid/
"Fatima Jinnah Women University, Rawalpindi",Need-cum-Merit Based Scholarship + Merit Scholarships (via SFAO),Not specified,Need + Merit,Government,Open to Bachelor's/MPhil regular-program students only (self-support not eligible),,,Not fully published,https://fjwu.edu.pk/scholarships/
"PMAS-Arid Agriculture University, Rawalpindi",Directorate of Financial Assistance (primarily administers external HEC/PEEF/Ehsaas funds),Not specified,Other,Government,No distinct internal own-resource program found,,,Not published,http://sr.uaar.edu.pk/src/scholarships.php
University of Sargodha,University Merit Scholarships + Needy/Deserving Fee Concessions + Minority Scholarship + 100% exemption (SOS/Shaheed children) + Kinship Concession,Not specified,Need + Merit,Government,"Several 100% tuition exemptions for defined categories (SOS Children's Village students, children of Shaheeds)",,100,Partial to 100% tuition-fee concessions/exemptions by category,https://www.su.edu.pk/office/directorate-of-academics/Student-Financial-Aid
University of Gujrat (UOG),UOG Need-Based Scholarship (co-branded w/ HEC) + Student Advancement & Financial Aid Endowment (SAFE),Not specified,Need + Merit,Government,Interview required; SAFE funds scholarships from university's own resources,,,Tuition/financial support (coverage not fully published),https://uog.edu.pk/scholarships/
"Mehran University of Engineering & Technology (MUET), Jamshoro","No clearly documented internal own-resource program (external PM Fee Reimbursement, HEC Need-Based, Indigenous schemes only)",Not specified,Other,Government,Not published,,,Not published,muet.edu.pk
UET Taxila,"Scholarships/Dues Section (named schemes largely external: HEC, PEEF, PM Fee Reimbursement); scholars must do 4-6 weeks community service/year",Not specified,Need + Merit,Government,Community/social welfare service required of scholarship holders,,,Not published for distinct internal scheme,https://web.uettaxila.edu.pk/DuesSection.aspx
"Dawood University of Engineering & Technology (DUET), Karachi",Merit-Based and Need-Based scholarship categories listed (distinct internal scheme unclear),Not specified,Need + Merit,Government,Not published,,,Not published,https://duet.edu.pk/scholarships-2/
Government College University (GCU) Lahore,GCU Endowment Fund Trust (Golden/Silver Scholarships) + GCU Financial Aid Office,Not specified,Need + Merit,NGO / Foundation,"Preference to orphans, disabled, minorities, broken-family students",,,"2020: Rs 22.32M to 781 students (Endowment) + Rs 31.68M to 897 students (Financial Aid); Golden Scholarship covers fee+hostel (~Rs 100,000); Silver covers fee (~Rs 50,000)",https://gcu.edu.pk/financial-aid.php?pg=endowment-fund
Government College University (GCU) Faisalabad,Student Advancement Fund Endowment (SAFE) + Directorate of Students' Affairs financial assistance + UCC Talent Scholarships,Not specified,Need + Merit,Government,SAFE targets deserving + meritorious financially-constrained students,,,150 Talent Scholarships worth Rs 70 lac over 2 yrs (UCC level); freeships for high-scoring FSc students,https://gcuf.edu.pk/scholarships/
Federal Urdu University (FUUAST),No internal own-resource program - only external Bait-ul-Mal/HEC/Ehsaas/PEEF listed,Not specified,Other,Government,External only,,,External programs cover fee+stipend,https://fuuastisb.edu.pk/Scholarship.aspx
University of Malakand,No internal own-resource program - only external Frontier Education Foundation (FEF) & KP Zakat stipends,Not specified,Other,NGO / Foundation,External only,,,"FEF: Rs 50,000/student/yr for 4-yr BS; Zakat stipend",https://www.uom.edu.pk/osfa/
"Abdul Wali Khan University, Mardan (AWKUM)","AWKUM Own Source (Fund) Scholarships (need-based, since Feb 2010) + Position Holder Scholarships",Not specified,Need + Merit,Government,Own-source fund running since 2010,,,Financial assistance to UG/grad students; merit amounts not fully published,news.awkum.edu.pk
"Shah Abdul Latif University (SALU), Khairpur",Freeships & Bursaries (full/half tuition waiver) + Departmental/Merit Scholarships,Not specified,Need + Merit,Government,Per SALU Prospectus 2024: Freeship 10% of enrolled students; Bursaries 2.5% of enrolled students,,10,Full/half tuition-fee waiver + bursaries per fixed ratio,salu.edu.pk
"Karakoram International University (KIU), Gilgit-Baltistan",Financial Aid Office scholarships (position holders + needy talented students; largely external/donor-funded),Not specified,Need + Merit,Government,Genuine Financial Aid Office exists; concretely named programs mostly external/partner-funded,,,Not specifically published for KIU-own funds,https://scholarships.kiu.edu.pk/
"University of Azad Jammu & Kashmir (UAJK), Muzaffarabad",University Endowment Fund + Students Scholarship Fund + Departmental Merit Scholarships (top 3/class),Not specified,Need + Merit,Government,"Departmental merit for top 3 in class, up to 12 months",,,Endowment/scholarship fund support; departmental merit amounts not specified,https://uajk.edu.pk/directorate-students-financial-assistance/
"Superior University, Lahore","13-16 categories: High Achievers, Merit-Based, Alumni, Kinship, Rector's Women Empowerment, Sportsmen, Differently-Abled, Children of Martyrs, Remote Area, Qarz-e-Hasna",Not specified,Need + Merit,Private,"Retain CGPA ≥2.00, no ≥2 F grades",,,90%+=100% tuition; 85-89.9%=75%; 75-84.9%=50%; 70-74.9%=40%; 60-69.9%=30%; 50-59.9%=20%; Women Empowerment=30%; Disabled=50%; Martyrs' children=100%,https://www.superior.edu.pk/admissions-2/scholarships/
"University of South Asia (USA), Lahore",Merit Scholarships + Work-Based Scholarship + Study Loan,Not specified,Need + Merit,Private,Work-Based requires ~10 hrs/week work commitment,,,Work-Based=30-40%; + additional 40% Study Loan (repay after employment); free A/C dorm for female students (Cantt campus),https://usa.edu.pk/apply-now/
Foundation University Islamabad (FUI),FUI Merit Scholarships + Need-Based Financial Loan Program (Qarza-e-Hasna),Not specified,Need + Merit,Private,Not fully confirmed via direct official page,,,Merit scholarships + interest-free loan (coverage not published),fui.edu.pk
"Dow University of Health Sciences (DUHS), Karachi",'University Own Resources' scholarships + DUHS Student Study Loan (interest-free),Not specified,Need-based,Private,Financial Aid Office assesses family income/dependents/assets,,,Interest-free study loan; own-resource assistance for small number of students,https://www.duhs.edu.pk/grants-scholarships/
"Shifa Tameer-e-Millat University (STMU), Islamabad",Statutory Financial Assistance Program (fee discounts/installments) + STMU National Scholarship Test,Not specified,Need + Merit,Private,Governed by University Financial Assistance Committee; funded partly by internal endowment fund,,,Fee discounts (up to 100% for high performers cited); fee installments; Shifa-family employee discounts,https://stmu.edu.pk/admissions/financial-assistance/
"National University of Modern Languages (NUML), Islamabad","NUML Support Fund (internal, employee donations & Zakat) + Charagh-e-Badr + NUML Adoption Program",Not specified,Need-based,Private,Financially deprived families; case-by-case assessment,,,"Financial assistance from fund (case-by-case, amount not fixed)",https://www.numl.edu.pk/scholarship/NUML%20Support%20Fund
University of Lahore (UOL),Merit Scholarships + Need-Based Scholarships + Kinship Concession + Disability Scholarships + Fully-Funded Top-Scorer Scholarship (100% for 90%+ intermediate),Not specified,Need + Merit,Private,Maintain CGPA ≥3.0; ~half tuition deposit required before applying for aid,,,Merit slabs by CGPA/marks; fully-funded scheme=100% tuition for 90%+ intermediate; ~35% of students receive some support,https://uol.edu.pk/admissions/scholarships/
"Sir Syed University of Engineering & Technology (SSUET), Karachi",Scholarship & Financial Assistance: Merit + Brother & Sister (sibling) + Financial Assistance/Free-ship,Not specified,Need + Merit,Private,Only regular full-load students; SSUET staff children & other-source scholarship holders not eligible,,,Free-ship=100% tuition (top category); partial merit/financial assistance for others,https://www.ssuet.edu.pk/
"Hajvery University, Lahore",Academic Excellency (Merit) + Need-Based Financial Aid + Family Tuition Waiver + Women + Sportsmen + Differently-Abled + Remote Area + Shuhada/Govt-Teacher Children,Not specified,Need + Merit,Private,Income certificates + Financial Aid Committee interview; aid applies to tuition fees only,,,Academic Excellency=up to 50% tuition; Differently-Abled=up to 70%; Family Waiver=25%; Need-based case-by-case,https://hup.edu.pk/aid-and-scholarships/
Preston University,"100%/75% Merit (competitive test, first-division) + 50% Fee Waiver (meritorious/poor, discretionary) + Special Scholarships (armed forces/police/govt employees/journalists' dependents)",Not specified,Need + Merit,Private,Cancellable if performance not maintained; discretionary award,,,"100%, 75%, or 50% fee/merit waiver depending on category",https://preston.edu.pk/pu_fa.php
"Ilma University, Karachi",Merit-Based + Need-Based + Sports-Based + Financial Assistance + Hafiz-e-Quran + Disabled Persons + Qarz-e-Hasna,Not specified,Need + Merit,Private,One combined application form; award on overall admissions score (grades + aptitude test + family financial status),,,Merit ranges 10%-100%; up to 100% tuition waiver for deserving candidates; ~80% of students benefit (self-reported),https://ilmauniversity.edu.pk/Scholarships
"Greenwich University, Karachi",Greenwich Scholarships: Need + Merit + Extracurricular + Sports categories,Not specified,Need + Merit,Private,Review + admission test + interview,,,Partial or full tuition-fee coverage depending on eligibility (% not published),https://www.greenwich.edu.pk/Home/Scholarships
"Muhammad Ali Jinnah University (MAJU), Karachi",Merit Scholarships + Need-Based Scholarship + Alumni + Sibling + Semester GPA-Based + Sports + Differently-Abled + Faculty/Staff Dependents + Qarz-e-Hasna,Not specified,Need + Merit,Private,"Continuation min CGPA (UG 2.50), full course load, one scholarship at a time",,,"1st sem: 85%+=100%, 80-84.9%=75%, 75-79.9%=50%; from 2nd sem tied to CGPA; Need-Based=up to 100%; Alumni=100% admission fee+25% tuition; Sibling=25% tuition",https://jinnah.edu/scholarship/
"Sindh Madressatul Islam University (SMIU), Karachi",No distinct internal program - mainly administers HEC Need-Based + SEEF (provincial),Not specified,Need-based,Government,No published university-treasury scheme,,,Per external scheme,https://smiu.edu.pk/students/scholarships
"Liaquat University of Medical & Health Sciences (LUMHS), Jamshoro",LUMHS Free-ship / Financial Assistance (institutional fee waiver),Not specified,Need-based,Government,"Parent/guardian income up to Rs 50,000/month; self-finance/overseas excluded; sibling cases entertained",50000,,Fee remission (free-ship),lumhs.edu.pk
"Khyber Medical University (KMU), Peshawar",KMU Financial Assistance/Need-Based Scholarship (funded from KMU endowment fund),Not specified,Need-based,Government,For needy/deserving enrolled UG/grad students; subject to fund availability,,,Financial assistance (amount not fixed),kmu.edu.pk (IBMS/IPH & Nursing Prospectus 2025-26)
